"Orders","Bestellungen"
"Add Statusmapping","Füge Statusmapping hinzu"
"Barzahlen","Barzahlen"

"Address checking","Adressprüfung"
"Enabled","Aktiviert"
"Disabled","Deaktiviert"
"Check Billing Address","Prüfe Rechnungsadresse"
"Check Shipping Address","Prüfe Lieferadresse"
"Check Billing Address for virtual orders","Prüfe Rechnungsadresse für virtuelle Bestellungen"
"Please note that you can use these options only, if you subscribe to the invoicing module of PAYONE.","Bitte beachten Sie, dass Sie diese Optionen nur dann nutzen können, wenn Sie das Modul Invoicing von PAYONE beauftragt haben."
"Please note that you can only use this option, if you subscribe to the invoicing module of PAYONE.","Bitte beachten Sie, dass Sie diese Option nur dann nutzen können, wenn Sie das Modul Invoicing von PAYONE beauftragt haben."
"Personstatus Mapping","Personstatusmapping"
"Add Personstatus Mapping","Füge Personstatusmapping hinzu"
"Personstatus","Personstatus"
"Score","Ergebnis"

"Credit rating","Bonitätsprüfung"
"Creditrating-Checktype","Bonitätscheck-Typ"
"Combine credit rating with address check","Bonitätsprüfung mit Adressprüfung verbinden"
"Infoscore (hard criteria)","Infoscore (Harte Merkmale)"
"Infoscore (all criteria)","Infoscore (Alle Merkmale)"
"Infoscore (all criteria with boni-score)","Infoscore (Alle Merkmale + Boniscore)"
"Boniversum VERITA Score","Boniversum VERITA Score"
"Default value for unknown scores","Standardwert für unbekannte Scores"

"Allowed Payment-Methods for Result ""YELLOW""","Erlaubte Zahlarten bei Ampelwert ""GELB"""
"Allowed Payment-Methods for Result ""RED""","Erlaubte Zahlarten bei Ampelwert ""ROT"""
"Lifetime","Gültigkeit"
"Payment hint enabled","Hinweistext aktiviert"
"Payment hint text","Hinweistext"
"Agreement enabled","Zustimmung durch Kunden"
"Agreement message","Text der Zustimmungsabfrage"
"A template for the agreement message can be found under ""?""","Eine Vorlage für den Text zur Zustimmung finden sie unter ""?"""
"Integration Event","Zeitpunkt der Prüfung"
"Before Payment Selection","Vor Auswahl der Zahlart"
"After Payment Selection","Nach Auswahl der Zahlart"
"Enabled for Payment-Methods","Aktiviert für folgende Zahlarten:"
"This will always be 'Boniversum Person' when Creditrating-Checktype is 'Boniversum VERITA Score'","Hier wird immer 'Boniversum Person' verwendet, wenn der Bonitätscheck-Typ 'Boniversum VERITA Score' aktiv ist"
"This only affects check results when Creditrating-Checktype is 'Boniversum VERITA Score'","Dies betrifft nur Prüfungsergebnisse bei Verwendung des Bonitätscheck-Typs 'Boniversum VERITA Score'"
"Activate to perform Creditrating check every n-th order","Aktivieren um Bonitätsprüfung stichprobenartig bei jeder n. Bestellung durchzuführen"
"Perform creditrating for 1 out of n orders.","Durchführung der Bonitätsprüfung, 1 aus n Bestellungen wird geprüft (ganzzahlig)"
"Sample Mode Enabled","A/B-Test-Modus aktivieren"
"Sample Mode Frequency","Häufigkeit der Stichproben"

"Address corrected. Please confirm.", "Adresse wurde korrigiert, bitte überprüfen."
"Address data invalid.","Adress-Daten ungültig, bitte korrigieren."
"There has been an error processing your payment","Bei der Verarbeitung ihrer Zahlung ist ein Fehler aufgetreten."
"There has been an error processing your request.","Es ist ein Fehler aufgetreten."

"Result lifetime in days","Gültigkeit des Ergebnisses in Tagen"
"Consumer must confirm corrections to their address","Kunde muss Korrekturen an der Adresse zustimmen"
"Confirm Address correction", "Bestätigung bei Adresskorrektur"
"Response ERROR Handling","Behandlung von Fehlern"
"Action in case Addresscheck responds with ERROR","Aktion für Addresscheck-Ergebnis 'ERROR'"
"Placeholder: {{payone_customermessage}} (Message from Payone-Addresscheck","Platzhalter: {{payone_customermessage}} (Nachricht aus Payone-Addressprüfung) "
"Action in case Creditrating check responds with ERROR","Aktion für Bonitätsprüfungs-Ergebnis 'ERROR'"

"Please note that for Commerz Finanz only the mode ""preauthorization"" is available. Even if ""authorization"" is configured, a preauthorization is used in background. Afterwards payments must be captured. (CAPTURE)", "Beachten Sie, dass bei Commerz Finanz nur eine Vorautorisierung möglich ist. Auch wenn Autorisierung ausgewählt ist, wird im Hintergrund eine Vorautorisierung durchführt. Im Anschluss müssen die Zahlungen für Commerz Finanz eingezogen werden (CAPTURE)"
"Please note that for Commerz Finanz only the mode ""preauthorization"" is available. Afterwards payments must be captured. (CAPTURE)", "Beachten Sie, dass bei Commerz Finanz nur eine Vorautorisierung möglich ist. Im Anschluss müssen die Zahlungen für Commerz Finanz eingezogen werden (CAPTURE)"
"Please note that for Commerz Finanz the minimum transaction amount is EUR100.00.","Beachten Sie, dass bei der maximale Transaktionsbetrag bei Commerz Finanz 5000,00 Euro beträgt."
"Please note that for Commerz Finanz the maximum transaction amount is EUR5000.00.","Beachten Sie, dass bei der minimale Transaktionsbetrag bei Commerz Finanz 100,00 Euro beträgt."

"Stop Checkout", "Bestellprozess abbrechen"
"Continue Checkout", "Bestellprozess fortführen"
"Validate bank code","Prüfe Bankverbindung"
"Message for 'Stop-Checkout'","Nachricht bei Abbruch des Bestellprozess"
"Message to display for invalid data","Meldung bei ungültigen Daten"
"Message to display for blocked bank accounts","Meldung bei blockierter Bankverbindung"

"Miscellaneous","Sonstiges"
"Transaction-Status Processing","Verarbeitung des Transaktionsstatus"
"Transaction-Status Forwarding","Weiterleitung des Transaktionsstatus"
"payone_core_cronjob_transactionstatus_process", "Payone: Verarbeitung von Transaktions-Status"
"Valid PAYONE IPs","Gültige PAYONE IPs"
"Enter valid PAYONE IPs (Format xxx.xxx.xxx.xxx). As a Wildcard You can use * ","Tragen Sie hier gültige PAYONE IPs ein (Format xxx.xxx.xxx.xxx). Als Wildcard können Sie * verwenden"
"Proxy-mode","Proxy-Modus"
"If your shop is behind a Proxy. Enable this option to validate the HTTP_X_FORWARDED_FOR","Aktivieren Sie diese Option für eine IP-Validierung mit HTTP_X_FORWARDED_FOR. Dies ist nur notwendig, wenn Ihr Shop hinter einen Proxy-Server läuft."
"Forwarding","Weiterleitung"
"Add Forwarding","Füge Weiterleitung hinzu"
"Shipping Costs","Versandkosten"
"Invoicing Data - Shipping Costs","Rechnungsinformation - Versandkosten"
"Invoicing Data - Discount","Rechnungsinformation - Rabatt"
"Discount","Rabatt"
"Invoicing Data - Discount","Rechnungsinformation - Rabatt"
"SKU","Artikelnummer"
"Shipping","Versand"
"Creditmemo","Gutschrift"
"Invoicing Data - Voucher","Rechnungsinformation - Gutschein"
"Adjustment Refund SKU","Artikelnummer"
"Adjustment Refund Description","Berichtigungserstattung - Bezeichnung"
"Adjustment Fee SKU","Berichtigungszuschlag - Artikelnummer"
"Adjustment Fee Description","Berichtigungszuschlag - Bezeichnung"
"Adjustment Refund","Berichtigungserstattung"
"Adjustment Fee","Berichtigungszuschlag"
"Description","Bezeichnung"
"Email-Configuration for Error","Konfiguration Email bei Fehler"
"Sender","Absender"
"Recipient","Empfänger"
"Copy to","Kopie an"
"Template","Vorlage"
"Email-Configuration for AVS","Konfiguration Email AVS"
"Send Mail for AVS-Value","Sende Email für AVS-Wert"
"A: Streetnumber ok, ZIP not ok","A: Hausnummer ist ok, Postleitzahl ist nich ok"
"F: Streetnumber and ZIP ok","F: Hausnummer und Postleitzahl sind ok"
"N: Streetnumber and ZIP not ok","N: Hausnummer und Postleitzahl sind nicht ok"
"U: unsupported Request","U: Anfrage wird nicht unterstützt"
"Z: Streetnumer not ok, ZIP ok","Z: Hausnummer ist nicht ok, Postleitzahl ist ok"

"The order has been canceled.","Der Bestellvorgang wurde abgebrochen."
"Sorry, your payment has not been confirmed by the payment provider.","Bitte entschuldigen Sie, die Zahlung wurde durch den Zahlunganbieter nicht bestätigt."

"Account holder","Kontoinhaber"
"Account number","Kontonummer"
"Bank code","Bankleitzahl"
"Bank country","Land der Bank"
"I want to grant the mandate (transmitted electronically)","Ich möchte das Mandat erteilen (elektronische Übermittlung)"
"In order to debit the SEPA direct debit, we need a SEPA mandate from you.","Damit wir die SEPA-Lastschrift von Ihrem Konto einziehen k&ouml;nnen, ben&ouml;tigen wir von Ihnen ein SEPA-Lastschriftmandat."

"PAYONE successfully processed the payment-request.","Die Zahlungsanfrage wurde von PAYONE erfolgreich bearbeitet"
"PAYONE successfully processed and confirmed the payment-request.","Die Zahlungsanfrage wurde von PAYONE erfolgreich bearbeitet und bestätigt."
"The payment-request has been forwarded.","Die Zahlungsanfrage wurde weitergeleitet."
"The payment-request was incorrect. Please check the protocol.","Die Zahlungsanfrage war Fehlerhaft. Bitte prüfen sie das Protokoll."
"PAYONE successfully processed the capture-request.","Die Anfrage zum Geldeinzug wurde von PAYONE erfolgreich verarbeitet."

"PAYONE accepted the payment-request.","Die Zahlungsanfrage wurde von PAYONE angenommen."
"PAYONE confirmed the collection.","Der Geldeinzug wurde von PAYONE bestätigt."
"PAYONE confirmed the claim.","Die Forderungsverbuchung wurde von PAYONE bestätigt."
"The payment was rejected.","Die Zahlung wurde zurückgewiesen."
"The dunning status was updated, status is %s","Die Zahlung wurde angemahnt, Mahnstatus ist %s"
"PAYONE confirmed the payment receipt.","Der Zahlungseingang wurde von PAYONE bestätigt."
"PAYONE confirmed the payment receipt. There is an underpayment","Der Zahlungseingang wurde von PAYONE bestätigt. Es liegt eine Unterzahlung vor."
"PAYONE confirmed the credit.","Die Gutschrift wurde von PAYONE bestätigt."
"Transactionstatus: transfer","Der Zahlungsvorgang wurde auf einen anderen Zahlnungsvorgang umgebucht."
"Transactionstatus: vauthorization","Es wurde eine Buchung auf das Virtuelle Konto durchgeführt."
"Transactionstatus: vsettlement","Das virtuelle Konto wurde abgerechnet."
"Transactionstatus: invoice","Es wurde eine Rechnung erstellt."

"To start the Configuration-Wizard, press the following button:","Um den Konfigurationsassistent zu starten, clicken Sie folgenden Button:"
"Start Configuration-Wizard","Assistent starten"
"Continue","Weiter"
"Save & Continue","Speichern & Weiter"
"Cancel","Abbrechen"
"Back","Zurück"
"Finish","Beenden"
"Global Settings","Globale Einstellungen"
"Payment-Method Configuration","Zahlarten konfigurieren"
"Welcome to the Configuration-Wizard for the <b>PAYONE-Magento-Extension</b>","Willkommen beim Konfigurationsassistenen für die <b>PAYONE-Magento-Extension</b>"
"It will assist you through all the necessary configurations to ensure a nonviscous operation of the PAYONE-Plattform and your shop.","Dieser soll Ihnen behilflich sein alle notwendigen Konfigurationen für den reibungslosen Betrieb mit der PAYONE-Plattform und ihrem Shop zu gewährleisten."
"Please choose the store for which you want to run the configuration wizard.","Bitte wählen Sie zunächst den Store für welchen Sie den Konfigurationsassistenten durchlaufen wollen."
"You have successfully finished the configuration wizard for <b>PAYONE-Magento-Extension</b>.","Sie haben den Konfigurationsassistenen für die <b>PAYONE-Magento-Extension</b> erfolgreich durchlaufen."
"Click <b>Finish</b> to close wizard.","Klicken Sie auf <b>Beenden</b> um den Assistenten zu schließen."
"You can start the wizard again at any time to adjust your settings.","Sie können den Assistenten jederzeit erneut starten um ihre Einstellungen anzupassen."
"The configuration has been saved.","Die Konfiguration wurde gespeichert."
"This section is not allowed.","Diese Section ist nicht erlaubt."
"An error occurred while saving:","Beim Speichern ist ein Fehler aufgetreten:"

"Payone Core successfully installed. Please run the configuration wizard to configure Payone. (PAYONE > Configuration-Wizard)", "Payone erfolgreich installiert. Bitte durchlaufen sie den Konfigurationsassistenten unter ""PAYONE > Konfigurationsassistent"""
"Payone Core Installation", "Payone Core Installation"

"ID","ID"
"Txid","Vorgansgnr."
"Reference","Bestellnummer"
"Last Txaction","Status"
"Txaction","Status"
"TxTime","Vorgangsdatum"
"Clearingtype","Zahlart"
"Mode","Betriebsmodus"
"Portal-ID","Portal-ID"
"Receivable","Forderung"
"Balance","Saldo"
"Created at","Erstelldatum"
"Created At","Erstelldatum"
"Updated at","Aktualisiert"
"Updated At","Aktualisiert"
"Processing Status","Status Verarbeitung"
"Processed At","Verarbeitet am"

"Looking for PAYONE Payment-Methods? We have our own tab to the left.","Suchen Sie die PAYONE Zahlarten? Wir haben unseren eigenen Bereich auf der linken Seite."
"View PAYONE Payment-Methods.","PAYONE Zahlarten verwalten"
"PAYONE > General","PAYONE > Allgemein"

"Go to Order","Zur Bestellung"
"Go to Transaction","Zur Transaktion"

"Protocol - API #%s","Protokoll - API #%s"
"Protocol - API","Protokoll - API"
"Protocol - Api","Protokoll - Api"
"Api does not exist","Api-Datensatz nicht gefunden."
"EXCEPTION","Exception"
"Sequencenumber","Sequenznr."
"Protocol - Transaction","Protokoll - Transaktion"
"Protocol - TransactionStatus","Protokoll - Transaktionsstatus"
"Protocol - TransactionStatus #%s | %s","Protokoll - Transaktionsstatus #%s | %s"
"TransactionStatus does not exist","Transaktionsstatus nicht gefunden."
"Transaction","Transaktion"
"Transaction #%s | %s","Transaktion #%s | %s"
"Transaction does not exist","Transaktion nicht gefunden."
"General Parameter","Allgemeine Parameter"

"PAYONE Status","PAYONE Status"
"PAYONE Method","PAYONE Zahlart"
"PAYONE Dunning Status","PAYONE Mahnstatus"
"PAYONE Type","PAYONE Typ"
"PAYONE Name","PAYONE Name"

"Download PAYONE-Invoice","PAYONE-Rechnung herunterladen"
"Failed to get the Payone Invoice.","Die PAYONE-Rechnung konnte nicht heruntergeladen werden."

"Payment has not been processed yet.","Die Zahlung wurde noch nicht durchgeführt."
"Please transfer the order amount to this bank account:","Bitte überweisen Sie den Gesamtbetrag an diese Bankverbindung:"
"Accountholder:","Kontoinhaber:"
"Accountnumber:","Kontonummer:"
"Bank code:","Postleitzahl:"
"IBAN:","IBAN:"
"BIC:","BIC:"
"Bank:","Bank:"
"Country:","Land:"
"City:","Stadt:"
"Legal note:","Hinweis zur Forderungsabtretung:"
"Instruction note:","Hinweis zur Zahlungsabwicklung:"
"Due date:","Fälligkeits-Datum:"
"Payment reference:","Zahlungsreferenz:"

"Name on the Card: %s","Kreditkarteninhaber: %s"
"Credit Card Type: %s","Kreditkartentyp: %s"
"Credit Card Number: %s","Kreditkartennummer: %s"
"Expiration Date: %s/%s","Verfallsdatum: %s/%s"
"Name on Card","Kreditkarteninhaber"
"Credit Card Type","Kreditkartentyp"
"Credit Card Number","Kreditkartennummer"
"Expiration Date","Verfallsdatum"
"Please fill in all required fields","Bitte f&uuml;llen Sie alle Pflichtfelder aus"

"Account holder: %s","Kontoinhaber: %s"
"Account number: xxx%s","Kontonummer: xxx%s"
"Bank code: %s","Bankleitzahl: %s"
"or enter your bank account data (only for German accounts):","oder bezahlen Sie wie gewohnt mit Ihren bekannten Kontodaten (nur für Deutsche Kontoverbindungen):"

"Bank code must contain 8 digits","Bankleitzahl muss 8 Ziffern enthalten"
"IBAN should contain only letters and digits","IBAN sollte nur Buchstaben und Ziffern enthalten"
"BIC can contain only 8-11 characters (letters and digits)","BIC kann nur aus 8-11 Zeichen bestehen (Buchstaben und Ziffern)"

"Online bank transfer type","Typ"

"Payone Transaction ID: %s","Payone Vorgangsnummer: %s"

"PAYONE Payment Extension 3.0 successfully installed.","Die PAYONE Payment Extension 3.0 Installation wurde erfolgreich beendet."
"Please run the configuration wizard to configure PAYONE. (PAYONE > Configuration-Wizard)","Bitte starten sie den Konfigurationsassistenten um die Konfiguration abzuschließen. (PAYONE > Konfigurationsassistent)"

">>>SDK TRANSLATIONS<<<",">>>SDK TRANSLATIONS<<<"
"PAYPAL_EXPRESS","Paypal Express"

"YES","Ja"
"NO","Nein"
"AUTO","Auto"
"NONE","Kein"

"DHL","DHL"
"BARTOLINI","Bartolini"

"APPROVED","Bestätigt (approved)"
"REDIRECT","Weiterleitung (redirect)"
"VALID","Zulässig (valid)"
"INVALID","Unzulässig (invalid)"
"BLOCKED","Blockiert (blocked)"
"ENROLLED", "Eingeschrieben (enrolled)"
"ERROR","Fehler (error)"

"preauthorization","Vorautorisierung (preauthorization)"
"authorization","Autorisierung (authorization)"
"CAPTURE","Einzug (capture)"
"REFUND","Rückerstattung (refund)"
"DEBIT","Lastschrift (debit)"
"CHECK3DS","3DS-Prüfung (check3ds)"
"ADDRESSCHECK","Adressprüfung (addresscheck)"
"CONSUMERSCORE","Kundenprüfung (consumerscore)"
"BANKACCOUNTCHECK","Bankdatenprüfung (bankaccountcheck)"
"CREDITCARDCHECK","Kreditkartenprüfung (creditcardcheck)"
"GETINVOICE","Rechnungsdownload (getinvoice)"
"MANAGEMANDATE","Mandatserteilung (managemandate)"
"GETFILE","Download Mandat als PDF (getfile)"

"INSTANT_MONEY_TRANSFER","SOFORT Überweisung"
"GIROPAY","giropay"
"EPS_ONLINE_BANK_TRANSFER","eps Online-Überweisung"
"POSTFINANCE_EFINANCE","PostFinance E-Finance"
"POSTFINANCE_CARD","PostFinance Card"
"IDEAL","iDeal"
"P24","Przelewy24"

"POST","Post"
"PDF","PDF (E-Mail)"

"INTERNET","eCommerce transaktion"
"SECURE3D","3D-Secure Transaktion"
"MOTO","Adminbestellung"

"DIRECT_DEBIT_REFUND_FEE","Rücklastschriftgebühr"
"DUNNING_CHARGE","Mahngebühr"
"DEFAULT_INTEREST","Verzugszinsen"
"SHIPPING_COSTS","Versandkosten"
"PAYMENT_REQUEST","Forderung"
"CREDIT","Gutschrift"
"RETURNS","Retoure"

"VISA","Visa"
"MASTERCARD","MasterCard"
"AMEX","American Express"
"DINERS","Diners-Club"
"JCB","JCB"
"MAESTRO_INTERNATIONAL","Maestro International"
"MAESTRO_UK","Maestro UK"
"DISCOVER","Discover"
"CARTE_BLEUE","Carte Bleue"

"CFR","Commerz Finanz"
"BSV","BillSAFE"
"KLV","Klarna"
"KLS","Klarna"
"INFOSCORE_HARD","Infoscore (Harte Merkmale)"
"INFOSCORE_ALL","Infoscore (Alle Merkmale)"
"INFOSCORE_ALL_BONI","Infoscore (Alle Merkmale + Boniscore)"

"GREEN","Grün"
"YELLOW","Gelb"
"RED","Rot"

"REGULAR","Reguläre Prüfung"
"POS_BLACKLIST","Prüfung gegen POS_Sperrliste"

"RESULT_A","Hausnummer ist ok, Postleitzahl ist nicht ok"
"RESULT_F","Hausnummer und Postleitzahl sind ok"
"RESULT_N","Weder Hausnummer noch Postleitzahl sind ok"
"RESULT_U","Anfrage wird nicht unterstützt"
"RESULT_Z","Hausnummer ist nicht ok, aber Postleitzahl ist ok"

"BASIC","Basic"
"PERSON","Person"

"ADDRESS_CORRECT","Adresse korrekt"
"ADDRESS_CORRECTABLE","Adresse korigierbar"
"ADDRESS_NONE_CORRECTABLE","Adresse nicht korigierbar"

"DEBITPAYMENT","Lastschrift"
"CREDITCARD","Kreditkarte"
"ADVANCEPAYMENT","Vorkasse"
"INVOICE","Rechnung"
"ONLINEBANKTRANSFER","Onlineüberweisung"
"CASHONDELIVERY","Nachnahme"
"WALLET","Wallet"

"TEST","Test"
"LIVE","Live"

"LVL_1","1.Mahnstufe"
"LVL_2","2.Mahnstufe"
"LVL_3","3.Mahnstufe"
"LVL_4","4.Mahnstufe"
"LVL_5","Übergabe an Inkassobüro"
"LVL_A","Mahnlauf eingestellt"
"LVL_S","Mahnlauf beginnt von vorn"
"LVL_M","Mahnvorschlagsliste"
"LVL_I","Inkassovorschlagsliste"

"STATUS_OK","Status Ok"

"INSUFFICIENT_FUNDS","Mangel an Deckung"
"ACCOUNT_EXPIRED","Konto erloschen"
"UNKNOWN_ACCOUNT_NAME","Konto-Nr. / Name nicht identisch, falsch oder Sparkonto"
"NO_DIRECT_DEBIT","Kein Lastschriftverfahren"
"RECALL","Rückruf"
"OBJECTION","Widerspruch"
"RETURNS","Rückgabe"
"DEBIT_NOT_COLLECTABLE","Lastschrift nicht einziehbar"
"CREDITCARD_CHARGEBACK","Kreditkarten Chargeback"
"CREDITCARD_NOT_COLLECTABLE","Kreditkarte nicht einziehbar"

"APPOINTED","Erfolg (appointed)"
"CAPTURE","Einzug (capture)"
"PAID","Zahlung (paid)"
"UNDERPAID","Unterzahlung (underpaid)"
"CANCELATION","Rückbelastung (cancelation)"
"REFUND","Rückerstattung (refund)"
"DEBIT","Forderung (debit)"
"REMINDER","Mahnstatus (reminder)"
"VAUTHORIZATION","Buchung (vauthorization)"
"VSETTLEMENT","Abrechnung (vsettlement)"
"TRANSFER","Umbuchung (transfer)"
"INVOICE","Rechnungsbeleg (invoice)"

"Date of birth (DD MM YYYY)","Geburtsdatum (TT MM JJJJ)"
"Gender","Geschlecht"
"Male","Männlich"
"Female","Weiblich"
"Mr","Herr"
"Mrs","Frau"
"House number extension (billing address)","Adresszusatz (Rechnungsadresse)"
"House number extension (shipping address)","Adresszusatz (Lieferadresse)"


"MISSING_TRANSLATIONS_FOR_PLUGIN_CORE","…"
"Add Payment","Zahlungsart hinzufügen"


"Test","Test"
"Live","Live"


"TEMPLATE","/home/thomas/Entwicklung/payone/magento-extension/app/code/community/Payone/Core/Block/Adminhtml/System/Config/Hint.php"
"TEMPLATE","/home/thomas/Entwicklung/payone/magento-extension/app/code/community/Payone/Core/Block/Adminhtml/System/Config/Form/Field/Info.php"
"Click here to obtain more information on this section","Klicken Sie hier um weitere Informationen zu diesem Bereich zu erhalten"


"TEMPLATE","/app/design/adminhtml/default/default/template/payone/core/system/config/tooltip/general/global.phtml"
